,Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
1331,Arab World,ARB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,66.6218719482422
4996,East Asia & Pacific,EAS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,102.804962158203
8661,East Asia & Pacific (excluding high income),EAP,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,102.708969116211
12326,Euro area,EMU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,107.15062713623001
15991,Europe & Central Asia,ECS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,105.036567687988
19656,Europe & Central Asia (excluding high income),ECA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,105.169288635254
23321,European Union,EUU,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,105.501502990723
26986,Heavily indebted poor countries (HIPC),HPC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,49.02436828613279
30651,High income,HIC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,99.3234405517578
34316,Latin America & Caribbean,LCN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,104.570510864258
37981,Latin America & Caribbean (excluding high income),LAC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,103.670738220215
41646,Least developed countries: UN classification,LDC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,50.653648376464794
45311,Low & middle income,LMY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,86.78394317626949
48976,Low income,LIC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,45.8162307739258
52641,Lower middle income,LMC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,76.006736755371
56306,Middle East & North Africa,MEA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,72.071533203125
59971,Middle East & North Africa (excluding high income),MNA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,72.3975067138672
63636,Middle income,MIC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,90.5705108642578
67301,North America,NAC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,89.8835296630859
70966,OECD members,OED,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,100.45423126220699
74631,South Asia,SAS,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,72.6131134033203
78296,Sub-Saharan Africa,SSF,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,53.855640411377
81961,Sub-Saharan Africa (excluding high income),SSA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,53.8468894958496
85626,Upper middle income,UMC,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,104.736717224121
89291,World,WLD,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,89.1898574829102
92956,Afghanistan,AFG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,31.341749191284197
118611,Argentina,ARG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,105.64954376220699
147931,Bangladesh,BGD,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,55.417980194091705
173586,Bhutan,BTN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,20.143970489502
177251,Bolivia,BOL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,85.0211486816406
184581,Botswana,BWA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,59.85749816894529
195576,Brunei Darussalam,BRN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,129.260726928711
239556,Chile,CHL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,122.184860229492
243221,China,CHN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,109.13778686523399
246886,Colombia,COL,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,102.51986694335899
261546,Costa Rica,CRI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,108.05216217041
265211,Cote d'Ivoire,CIV,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,60.359489440918
309191,El Salvador,SLV,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,83.0373992919922
331181,Fiji,FJI,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,1970-01-01,106.73944091796899
